"Codgeo";"ZInter_fact70_40000"
"02526";"Reg_I1_15"
"02527";"Reg_32_18"
"02528";"Reg_I1_17"
"02529";"Reg_I1_54"
"02530";"Reg_I1_46"
"02531";"Reg_I1_46"
"02532";"Reg_32_22"
"02533";"Reg_32_18"
"02534";"Reg_I1_20"
"02535";"Reg_I1_15"
"02536";"Reg_32_18"
"02537";"Reg_32_18"
"02538";"Reg_I1_46"
"02539";"Reg_32_22"
"02540";"Reg_I1_46"
"02541";"Reg_I1_32"
"02542";"Reg_32_18"
"02543";"Reg_I1_4"
"02544";"Reg_32_26"
"02545";"Reg_I1_15"
"02546";"Reg_32_18"
"02547";"Reg_I1_15"
"02548";"Reg_I1_15"
"02549";"Reg_32_22"
"02550";"Reg_I1_46"
"02551";"Reg_32_18"
"02552";"Reg_I1_15"
"02553";"Reg_I1_15"
"02554";"Reg_I1_46"
"02555";"Reg_I1_4"
